libsoup 2.66.2-1
libsoxr 0.1.3-1
libssh 0.8.7-1
libssh2 1.8.2-1
libsynctex 2018.48691-9
libtasn1 4.13-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-3
libunistring 0.9.10-1
libunwind 1.3.1-1
libusb 1.0.22-1
libutempter 1.1.6-3
libutil-linux 2.33.2-1
libuv 1.29.1-1
libva 2.4.1-1
libvdpau 1.2-1
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.8.0-1
libwacom 0.33-1
libwebp 1.0.2-1
libx11 1.6.7-1
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.3-1
libxi 1.7.9-2
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxml2 2.9.9-2
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.11-1
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
licenses 20181104-1
linux 5.1.4.arch1-1
linux-api-headers 5.0.7-1
linux-firmware 20190514.711d329-1
linux-headers 5.1.4.arch1-1
llvm-libs 8.0.0-2
lm_sensors 3.5.0-1
logrotate 3.15.0-1
lua 5.3.5-2
lvm2 2.02.184-4
lz4 1:1.9.1-1
lzo 2.10-2
m4 1.4.18-2
macchanger 1.7.0-4
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.5-2
man-pages 5.01-1
mariadb-libs 10.3.15-1
mdadm 4.1-1
mesa 19.0.4-1
minizip 1:1.2.11-3
mkinitcpio 25-1
mkinitcpio-busybox 1.30.1-1
mongodb-tools 4.0.9-1
mozilla-common 1.4-5
mpfr 4.0.2-1
mtdev 1.1.5-2
mullvad-vpn 2019.4-1
mupdf 1.15.0-1
ncurses 6.1-6
netctl 1.20-1
nettle 3.4.1-1
node-gyp 4.0.0-1
nodejs 11.15.0-1
noto-fonts 20190111-1
npm 6.9.0-1
npth 1.6-1
nspr 4.21-1
nss 3.44-1
opencore-amr 0.1.5-2
openjpeg2 2.3.1-1
openresolv 3.9.0-2
openssh 8.0p1-1
openssl 1.1.1.b-1
openssl-1.0 1.0.2.r-1
openvpn 2.4.7-1
opus 1.3.1-1
orc 0.4.29-1
p11-kit 0.23.15-1
pacman 5.1.3-1
pacman-mirrorlist 20190109-1
pacutils 0.7.0-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.43.0-2
patch 2.7.6-7
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
perl 5.28.2-1
